case_id,case_type,pair,x,y,repetition,scheme,I_AB,chi_BE,beta_I_AB,K_raw_mean,K_raw_median,K_raw_p05,outage_probability,entropy,finite,channel_seed,awgn_seed,channel_hash,noise_hash
3,failure,V_a,31.25,0.25,2,MB-global-opt,0.40690136467321286,0.22366387228574436,0.3865562964395522,0.16289242415380784,0.18192187101472398,0.01636739444238375,0.0,4.380495360181545,True,940002,940003,d4fd23a103c87764,71863ed36266ddc4
3,failure,V_a,31.25,0.25,2,PS+GS,0.4063343698431612,0.22404291513044058,0.3860176513510031,0.16197473622056252,0.1745346649315889,0.01492231757555128,0.0,6.408923689874859,True,940002,940003,d4fd23a103c87764,71863ed36266ddc4
3,failure,V_a,31.25,0.25,3,MB-global-opt,0.39286449941526713,0.21936924921556508,0.37322127444450376,0.15385202522893868,0.18110159221303257,0.010067559811084778,0.0,4.380495360181545,True,940003,940004,8e478ddd7b9991e9,387927a7565adb35
3,failure,V_a,31.25,0.25,3,PS+GS,0.39206631897187755,0.21973131113872035,0.3724630030232836,0.15273169188456331,0.18654809400981825,0.011258179765561222,0.0,6.408923689874859,True,940003,940004,8e478ddd7b9991e9,387927a7565adb35
3,failure,V_a,31.25,0.25,4,MB-global-opt,0.461708780452268,0.255554638347692,0.4386233414296546,0.1830687030819626,0.1964968024456095,0.06282914430073366,0.0,4.380495360181545,True,940004,940005,62b0a06fe03a75e1,f62b1df25d438fb8
3,failure,V_a,31.25,0.25,4,PS+GS,0.46538114912057216,0.25599382480496663,0.4421120916645435,0.18611826685957691,0.19470772269374206,0.06064394184423135,0.0,6.408923689874859,True,940004,940005,62b0a06fe03a75e1,f62b1df25d438fb8
3,failure,V_a,31.25,0.25,5,MB-global-opt,0.42190842895780645,0.23571267650265218,0.4008130075099161,0.1651003310072639,0.18345141100382895,0.037268699075342984,0.0,4.380495360181545,True,940005,940006,847f0d400c50b5dd,22936c798f6b273c
3,failure,V_a,31.25,0.25,5,PS+GS,0.42404351218310427,0.23610680970339154,0.402841336573949,0.16673452687055748,0.18820928579045446,0.032265553573687926,0.0,6.408923689874859,True,940005,940006,847f0d400c50b5dd,22936c798f6b273c
3,failure,V_a,31.25,0.25,6,MB-global-opt,0.42580118670077033,0.23551366926089318,0.4045111273657318,0.16899745810483863,0.19007110977178354,0.013320161368023074,0.0,4.380495360181545,True,940006,940007,1d30912ce4cd7e5a,f6db56b3d1a1376d
3,failure,V_a,31.25,0.25,6,PS+GS,0.42786266904817266,0.2359130804086118,0.40646953559576404,0.17055645518715223,0.19069323068859717,0.01382991754655289,0.0,6.408923689874859,True,940006,940007,1d30912ce4cd7e5a,f6db56b3d1a1376d
3,failure,V_a,31.25,0.25,7,MB-global-opt,0.39082455734850674,0.21891822232125333,0.37128332948108134,0.15236510715982804,0.1647833708994493,0.020888815977032144,0.0,4.380495360181545,True,940007,940008,e06ee2e4b18de8cf,85068d93c0209b22
3,failure,V_a,31.25,0.25,7,PS+GS,0.3913629780825088,0.21928325405463908,0.37179482917838336,0.15251157512374428,0.1588193009770782,0.019882912037552092,0.0,6.408923689874859,True,940007,940008,e06ee2e4b18de8cf,85068d93c0209b22
3,failure,V_a,31.25,0.25,8,MB-global-opt,0.46658719861900344,0.25276373883203745,0.44325783868805324,0.19049409985601584,0.20931292800262655,0.023792780367429277,0.0,4.380495360181545,True,940008,940009,cbd197a035429880,9e5edc1f1fa88e5f
3,failure,V_a,31.25,0.25,8,PS+GS,0.4674963640739107,0.25320716417179934,0.4441215458702152,0.19091438169841585,0.20368354997267396,0.0229011060635334,0.0,6.408923689874859,True,940008,940009,cbd197a035429880,9e5edc1f1fa88e5f
3,failure,V_a,31.25,0.25,9,MB-global-opt,0.37706580111605215,0.21434665045879944,0.35821251106024954,0.14386586060145012,0.1497267572250757,0.037363646329230185,0.0,4.380495360181545,True,940009,940010,b3a714379a6388de,a99a187feb1c4bf2
3,failure,V_a,31.25,0.25,9,PS+GS,0.37789937074767793,0.21469150712486557,0.35900440221029406,0.14431289508542844,0.14443017490852475,0.03528760814133651,0.0,6.408923689874859,True,940009,940010,b3a714379a6388de,a99a187feb1c4bf2
4,failure,V_a,40.0,0.15,0,MB-global-opt,0.23874704857653342,0.14323798964210288,0.22680969614770674,0.08357170650560385,0.08098658340698649,0.009386026982091912,0.0,4.380495360181545,True,950000,950001,84aba7bbbdf041e6,27b562fcebdd921d
4,failure,V_a,40.0,0.15,0,PS+GS,0.2351287375299459,0.14343931959137157,0.2233723006534486,0.079932981062077,0.0751843856547556,0.01049074328756205,0.0,6.408923689874859,True,950000,950001,84aba7bbbdf041e6,27b562fcebdd921d
4,failure,V_a,40.0,0.15,1,MB-global-opt,0.2617051565826237,0.16140782513167196,0.24861989875349252,0.0872120736218206,0.09121931059316779,0.0021935436256400147,0.0,4.380495360181545,True,950001,950002,bc64b7d7e9ece802,36ddc6a76c2b8d3a
4,failure,V_a,40.0,0.15,1,PS+GS,0.2652108824346122,0.16164207045761636,0.2519503383128816,0.09030826785526525,0.0943907753107201,0.001979740395892004,0.0,6.408923689874859,True,950001,950002,bc64b7d7e9ece802,36ddc6a76c2b8d3a
4,failure,V_a,40.0,0.15,2,MB-global-opt,0.18331318911907657,0.1141963436118074,0.17414752966312272,0.05995118605131534,0.044421197977866214,0.00041591855530502813,0.0,4.380495360181545,True,950002,950003,49aabf9eda733a18,180a137933d41d3f
4,failure,V_a,40.0,0.15,2,PS+GS,0.18499195152877462,0.11435649079727829,0.1757423539523359,0.06138586315505759,0.04258934061145739,0.00046627839304267386,0.0,6.408923689874859,True,950002,950003,49aabf9eda733a18,180a137933d41d3f
4,failure,V_a,40.0,0.15,3,MB-global-opt,0.23595149219806727,0.14000853435370972,0.22415391758816391,0.0841453832344542,0.0645033845514636,0.0014585630198645778,0.0,4.380495360181545,True,950003,950004,64ad909300ddee38,2d8c1bd639b87ca6
4,failure,V_a,40.0,0.15,3,PS+GS,0.23584843535012845,0.14021836045944688,0.224056013582622,0.08383765312317512,0.06197000146770487,0.0015243514565972944,0.0,6.408923689874859,True,950003,950004,64ad909300ddee38,2d8c1bd639b87ca6
4,failure,V_a,40.0,0.15,4,MB-global-opt,0.21832753743254898,0.13047502971251676,0.20741116056092151,0.07693613084840475,0.05402413325539969,0.0012421920194812695,0.0,4.380495360181545,True,950004,950005,1e2193d4b816a168,3e84558591c2c144
4,failure,V_a,40.0,0.15,4,PS+GS,0.2163989946720507,0.1306649727124309,0.20557904493844814,0.07491407222601726,0.0534532378302105,0.001479626243469334,0.0,6.408923689874859,True,950004,950005,1e2193d4b816a168,3e84558591c2c144
4,failure,V_a,40.0,0.15,5,MB-global-opt,0.28402919512215996,0.16292065396473213,0.2698277353660519,0.10690708140131983,0.12118594756283263,0.0016156042630067978,0.0,4.380495360181545,True,950005,950006,7d7a44913ca3b497,1b437ff5442c4f61
