pair,x,y,winner,best_learned,K_MB_global,K_best_learned,Delta_K_learned_vs_MB_global,Delta_I_AB,Delta_chi_BE,gain_source,MB_outage,learned_outage,Delta_outage,learned_K_p05,MB_K_p05,exploratory_ncut,repetitions
V_a,5.0,0.3,PS+GS,PS+GS,0.0009596669018319921,0.0010429809448034527,8.331404297146061e-05,9.234620087950063e-05,4.414847864064875e-06,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,0.000561620227505457,0.00039270601396524334,64,3
V_a,13.75,0.3,MB-global-opt,PS+GS,0.0831019352544713,0.08054681734803497,-0.0025551179064363383,-0.002468075638086542,0.00021044605025419272,No positive gain,0.0,0.0,0.0,0.057304224612274156,0.05105745094747125,64,3
V_a,22.5,0.3,MB-global-opt,PS+GS,0.15550911906139328,0.15473960746071985,-0.0007695116006734282,-0.00041597750297484026,0.0003743329728473632,No positive gain,0.0,0.0,0.0,0.10011202011779763,0.10098385618529863,64,3
V_a,31.25,0.3,MB-global-opt,PS+GS,0.22150965687552548,0.22006347894524936,-0.0014461779302761268,-0.0009930326359720576,0.0005027969261025556,No positive gain,0.0,0.0,0.0,0.1158541264699322,0.11177795287600634,64,3
V_a,40.0,0.3,MB-global-opt,PS+GS,0.24978898197401964,0.2478204645828872,-0.001968517391132435,-0.0014916768984587492,0.0005514243375966399,No positive gain,0.0,0.0,0.0,0.11098955795768066,0.10824628934523563,64,3
W0_Cn2,0.03,1e-16,PS+GS,PS+GS,0.01988941923969252,0.020516733949492175,0.0006273147097996534,0.0007268545605676746,6.319712273964578e-05,Mixed/none,0.041666666666666664,0.0,0.041666666666666664,0.014781227325752502,0.007139570539137839,64,3
W0_Cn2,0.0525,1e-16,PS+GS,PS+GS,0.03360563170107672,0.034031988286319904,0.00042635658524318304,0.0005508254812355701,9.692762193058702e-05,Mixed/none,0.0,0.0,0.0,0.016886920224685294,0.015032022588525767,64,3
W0_Cn2,0.075,1e-16,MB-global-opt,PS+GS,0.0443310642016751,0.04262638040242122,-0.0017046837992538769,-0.0016664309364401997,0.00012157440963569965,No positive gain,0.0,0.0,0.0,0.028517612735447766,0.02708978746770876,64,3
W0_Cn2,0.0975,1e-16,MB-global-opt,PS+GS,0.04023635791663855,0.03978807127063696,-0.0004482866460015916,-0.00035156448572587484,0.0001143003845619911,No positive gain,0.0,0.0,0.0,0.024738183961205112,0.02205986414090699,64,3
W0_Cn2,0.12,1e-16,MB-global-opt,PS+GS,0.04419378759990969,0.04382316493445911,-0.0003706226654505776,-0.00026506164144665667,0.00011881410607628151,No positive gain,0.0,0.0,0.0,0.02698261018435813,0.028599766831786288,64,3
W0_Cn2,0.03,3.1622776601683793e-16,MB-global-opt,PS+GS,0.0195876240598694,0.01879503507604715,-0.0007925889838222497,-0.0007718003661615763,5.9378635968755644e-05,No positive gain,0.0,0.0,0.0,0.01128012236010803,0.01001642191754334,64,3
W0_Cn2,0.0525,3.1622776601683793e-16,MB-global-opt,PS+GS,0.03662011660805251,0.035872816898664284,-0.0007472997093882286,-0.000681173899049925,0.00010018450529077072,No positive gain,0.0,0.0,0.0,0.02143323072950586,0.016891203640903515,64,3
W0_Cn2,0.075,3.1622776601683793e-16,MB-global-opt,PS+GS,0.03706710691636791,0.03548127361787038,-0.001585833298497527,-0.001562584911220244,0.00010137763283832313,No positive gain,0.0,0.0,0.0,0.012157804546461861,0.00960354530534759,64,3
W0_Cn2,0.0975,3.1622776601683793e-16,MB-global-opt,PS+GS,0.042225707126405325,0.040775225336746844,-0.001450481789658481,-0.001406451126301278,0.00011435321967227796,No positive gain,0.0,0.0,0.0,0.025238085800049465,0.022061359388854795,64,3
W0_Cn2,0.12,3.1622776601683793e-16,MB-global-opt,PS+GS,0.03855885177949796,0.035684828419384654,-0.0028740233601133036,-0.0029200558281494704,9.997032337130674e-05,No positive gain,0.0,0.0,0.0,0.021662663058056142,0.019566872185412094,64,3
W0_Cn2,0.03,1e-15,MB-global-opt,PS+GS,0.014387274959367391,0.013682437353505017,-0.000704837605862374,-0.000699497173634045,4.0315290910031276e-05,No positive gain,0.0,0.0,0.0,0.003135067518434967,0.003071085959536944,64,3
W0_Cn2,0.0525,1e-15,MB-global-opt,PS+GS,0.03025190756550741,0.029042121725845207,-0.0012097858396622023,-0.0011848215761953024,8.42053422766692e-05,No positive gain,0.0,0.0,0.0,0.00872137560143596,0.008604128504629846,64,3
W0_Cn2,0.075,1e-15,PS+GS,PS+GS,0.02389326410009876,0.02456911892950477,0.0006758548294060092,0.0007889067648277487,7.360659718035067e-05,Mixed/none,0.0,0.0,0.0,0.002234406672399157,0.0017335220894018032,64,3
W0_Cn2,0.0975,1e-15,PS+GS,PS+GS,0.031230623493507085,0.03182017987098686,0.0005895563774797781,0.0007165784882920273,9.119318639763674e-05,Mixed/none,0.0,0.0,0.0,0.004746039773730996,0.004293432462763677,64,3
