sample_id,distance_km,r_i,T_i
495,19.0000000000,101.0735736305,0.0000000000
496,19.0000000000,65.2052484499,0.0000000000
497,19.0000000000,84.0947954501,0.0000000000
498,19.0000000000,202.4917479365,0.0000000000
499,19.0000000000,73.1694330227,0.0000000000
500,19.0000000000,108.0033847477,0.0000000000
501,19.0000000000,79.5837334500,0.0000000000
502,19.0000000000,44.0840691762,0.0000000000
503,19.0000000000,13.9382616917,0.0000000000
504,19.0000000000,124.2212529087,0.0000000000
505,19.0000000000,30.7585225518,0.0000000000
506,19.0000000000,44.0630082212,0.0000000000
507,19.0000000000,95.0423340452,0.0000000000
508,19.0000000000,60.7815887388,0.0000000000
509,19.0000000000,77.8060321961,0.0000000000
510,19.0000000000,78.6796567941,0.0000000000
511,19.0000000000,15.4602341983,0.0000000000
512,19.0000000000,147.7497715886,0.0000000000
513,19.0000000000,200.3167609572,0.0000000000
514,19.0000000000,82.2957164995,0.0000000000
515,19.0000000000,63.9258165085,0.0000000000
516,19.0000000000,149.8835181509,0.0000000000
517,19.0000000000,72.8310965452,0.0000000000
518,19.0000000000,98.1356909535,0.0000000000
519,19.0000000000,143.0658510181,0.0000000000
520,19.0000000000,65.2813363463,0.0000000000
521,19.0000000000,138.0296053306,0.0000000000
522,19.0000000000,106.3531137561,0.0000000000
523,19.0000000000,100.7699465312,0.0000000000
524,19.0000000000,132.1643841185,0.0000000000
525,19.0000000000,12.0257586887,0.0000000000
526,19.0000000000,60.7731791356,0.0000000000
527,19.0000000000,47.2378655377,0.0000000000
528,19.0000000000,57.0203743069,0.0000000000
529,19.0000000000,64.6303782078,0.0000000000
530,19.0000000000,50.4672933298,0.0000000000
531,19.0000000000,76.8042585695,0.0000000000
532,19.0000000000,59.0917887879,0.0000000000
533,19.0000000000,74.4953842796,0.0000000000
534,19.0000000000,80.2425371211,0.0000000000
535,19.0000000000,51.7839017571,0.0000000000
536,19.0000000000,97.9721687434,0.0000000000
537,19.0000000000,107.8549741983,0.0000000000
538,19.0000000000,124.1408648519,0.0000000000
539,19.0000000000,47.6676047410,0.0000000000
540,19.0000000000,99.0663952105,0.0000000000
541,19.0000000000,116.5044568445,0.0000000000
542,19.0000000000,21.7146408549,0.0000000000
543,19.0000000000,75.1142920002,0.0000000000
544,19.0000000000,96.9805159606,0.0000000000
545,19.0000000000,54.2632854189,0.0000000000
546,19.0000000000,134.8647776972,0.0000000000
547,19.0000000000,113.1980511466,0.0000000000
548,19.0000000000,43.3272805201,0.0000000000
549,19.0000000000,76.8388911385,0.0000000000
550,19.0000000000,182.1304818503,0.0000000000
551,19.0000000000,88.8467705868,0.0000000000
552,19.0000000000,118.6063897571,0.0000000000
553,19.0000000000,156.4434607387,0.0000000000
554,19.0000000000,76.5881307310,0.0000000000
555,19.0000000000,30.9880176122,0.0000000000
556,19.0000000000,49.5416795008,0.0000000000
557,19.0000000000,81.0104435542,0.0000000000
558,19.0000000000,76.1931506722,0.0000000000
559,19.0000000000,89.5852673356,0.0000000000
560,19.0000000000,114.2195960958,0.0000000000
561,19.0000000000,122.6417747625,0.0000000000
562,19.0000000000,102.7058291102,0.0000000000
563,19.0000000000,168.2210381023,0.0000000000
564,19.0000000000,189.1172594177,0.0000000000
565,19.0000000000,113.6290919993,0.0000000000
566,19.0000000000,138.7760851243,0.0000000000
567,19.0000000000,71.3888757200,0.0000000000
568,19.0000000000,37.7750709108,0.0000000000
569,19.0000000000,91.2519576387,0.0000000000
570,19.0000000000,160.0833384262,0.0000000000
571,19.0000000000,39.7879743106,0.0000000000
572,19.0000000000,65.8326992091,0.0000000000
573,19.0000000000,99.3740455194,0.0000000000
574,19.0000000000,75.3776467539,0.0000000000
575,19.0000000000,23.0241844154,0.0000000000
576,19.0000000000,202.7529897703,0.0000000000
577,19.0000000000,87.6806963377,0.0000000000
578,19.0000000000,53.7600958701,0.0000000000
579,19.0000000000,70.1734723600,0.0000000000
580,19.0000000000,17.0732929861,0.0000000000
581,19.0000000000,89.2463216449,0.0000000000
582,19.0000000000,127.6046036894,0.0000000000
583,19.0000000000,89.3561230718,0.0000000000
584,19.0000000000,121.2067812266,0.0000000000
585,19.0000000000,81.7491761086,0.0000000000
586,19.0000000000,120.0529759951,0.0000000000
587,19.0000000000,83.6338906895,0.0000000000
588,19.0000000000,100.5754598929,0.0000000000
589,19.0000000000,137.9127985913,0.0000000000
590,19.0000000000,208.4495502397,0.0000000000
591,19.0000000000,72.9606376197,0.0000000000
592,19.0000000000,184.6193223400,0.0000000000
593,19.0000000000,33.2942567056,0.0000000000
594,19.0000000000,94.8063381726,0.0000000000
595,19.0000000000,83.3683755212,0.0000000000
596,19.0000000000,92.3947126958,0.0000000000
597,19.0000000000,135.1774944781,0.0000000000
598,19.0000000000,69.8978918271,0.0000000000
599,19.0000000000,203.8773771794,0.0000000000
600,19.0000000000,88.6321778008,0.0000000000
601,19.0000000000,120.2635990638,0.0000000000
602,19.0000000000,93.8047215119,0.0000000000
603,19.0000000000,85.3946283229,0.0000000000
