parameter_name,parameter_value,parameter_unit,repetition,seed,Delta_K_PS_vs_Uniform,Delta_K_GS_vs_Uniform,Delta_K_PS+GS_vs_PS
excess_noise,0.01,SNU,2,304026,0.0178379289486229,0.0010358846500427739,7.295956257795042e-05
excess_noise,0.01,SNU,3,305026,0.018244123895392355,0.0010564301672566253,7.340070955338604e-05
excess_noise,0.01,SNU,4,306026,0.019005115866380113,0.0011241452163631145,7.693918208039746e-05
turbulence_strength,1e-16,m^(-2/3),0,302026,0.02116090907061533,0.0015383608926544216,5.2783807168381436e-05
turbulence_strength,1e-16,m^(-2/3),1,303026,0.02171904914123885,0.0015732750383364233,5.40553362652213e-05
turbulence_strength,1e-16,m^(-2/3),2,304026,0.0215440630813244,0.0015740574225267048,5.404795880445401e-05
turbulence_strength,1e-16,m^(-2/3),3,305026,0.02133066575410473,0.001545641908625446,5.305705506302577e-05
turbulence_strength,1e-16,m^(-2/3),4,306026,0.021246754586956303,0.0015457104079650008,5.3054131475598065e-05
turbulence_strength,1.2589254117941662e-16,m^(-2/3),0,302026,0.020703933567247576,0.0015113507319163243,5.187728171279771e-05
turbulence_strength,1.2589254117941662e-16,m^(-2/3),1,303026,0.02113281159596618,0.0015359736355154176,5.277865073995136e-05
turbulence_strength,1.2589254117941662e-16,m^(-2/3),2,304026,0.020853076116579612,0.0015223614748542391,5.220208669964865e-05
turbulence_strength,1.2589254117941662e-16,m^(-2/3),3,305026,0.02149565797201604,0.0015492776262038543,5.325174458759019e-05
turbulence_strength,1.2589254117941662e-16,m^(-2/3),4,306026,0.020892826555595864,0.0015233978154775944,5.2320765591910845e-05
turbulence_strength,1.5848931924611109e-16,m^(-2/3),0,302026,0.020111705324873216,0.0014672287386728045,5.0226427665930884e-05
turbulence_strength,1.5848931924611109e-16,m^(-2/3),1,303026,0.020425569659735535,0.0014824116031837281,5.0769509550706304e-05
turbulence_strength,1.5848931924611109e-16,m^(-2/3),2,304026,0.02150445895756501,0.00154642694754447,5.311537350051465e-05
turbulence_strength,1.5848931924611109e-16,m^(-2/3),3,305026,0.020569140607874625,0.0014872201548408667,5.097658606481592e-05
turbulence_strength,1.5848931924611109e-16,m^(-2/3),4,306026,0.02059747395943312,0.0015079927220907688,5.170717976617223e-05
turbulence_strength,1.995262314968883e-16,m^(-2/3),0,302026,0.01985000490138133,0.0014421151480320908,4.9320735055591314e-05
turbulence_strength,1.995262314968883e-16,m^(-2/3),1,303026,0.01936922161623864,0.0014176295637097595,4.847332189238107e-05
turbulence_strength,1.995262314968883e-16,m^(-2/3),2,304026,0.020835637626386867,0.001508519209089735,5.1713586747728635e-05
turbulence_strength,1.995262314968883e-16,m^(-2/3),3,305026,0.02001837602497336,0.0014630910922015239,5.011939313545599e-05
turbulence_strength,1.995262314968883e-16,m^(-2/3),4,306026,0.019709374020825836,0.0014339658827470306,4.9114197851099495e-05
turbulence_strength,2.511886431509582e-16,m^(-2/3),0,302026,0.020152784582348995,0.0014691723994774315,5.030417816951488e-05
turbulence_strength,2.511886431509582e-16,m^(-2/3),1,303026,0.01996423778677889,0.0014493377359321817,4.957172111395847e-05
turbulence_strength,2.511886431509582e-16,m^(-2/3),2,304026,0.019054990280552284,0.0013990677121872262,4.774406138381704e-05
turbulence_strength,2.511886431509582e-16,m^(-2/3),3,305026,0.019924202351787552,0.0014578738546661904,4.991085252940147e-05
turbulence_strength,2.511886431509582e-16,m^(-2/3),4,306026,0.01991070872092781,0.0014462806246873343,4.954017361672586e-05
turbulence_strength,3.1622776601683793e-16,m^(-2/3),0,302026,0.019306866928829415,0.0014063196925189082,4.812654559846474e-05
turbulence_strength,3.1622776601683793e-16,m^(-2/3),1,303026,0.0188610127922083,0.0013858414539789608,4.729901886377924e-05
turbulence_strength,3.1622776601683793e-16,m^(-2/3),2,304026,0.01912049687982024,0.001390180695279443,4.7441923866742286e-05
turbulence_strength,3.1622776601683793e-16,m^(-2/3),3,305026,0.019025368153529267,0.0013950385442184493,4.762523151864706e-05
turbulence_strength,3.1622776601683793e-16,m^(-2/3),4,306026,0.019760558218262586,0.001447815527740197,4.9517650900325616e-05
turbulence_strength,3.9810717055349695e-16,m^(-2/3),0,302026,0.018151713177304483,0.0013309143097061191,4.5289813152181446e-05
turbulence_strength,3.9810717055349695e-16,m^(-2/3),1,303026,0.018610486130623168,0.0013690566250191324,4.669653679387903e-05
turbulence_strength,3.9810717055349695e-16,m^(-2/3),2,304026,0.01819108346618479,0.0013404867535940727,4.564066106430009e-05
turbulence_strength,3.9810717055349695e-16,m^(-2/3),3,305026,0.01904766056397357,0.0013984683384210706,4.774613957719831e-05
turbulence_strength,3.9810717055349695e-16,m^(-2/3),4,306026,0.01886117992363087,0.0013691313748877172,4.675201733537332e-05
turbulence_strength,5.011872336272715e-16,m^(-2/3),0,302026,0.01864604235322495,0.0013508108499892483,4.6107509463211294e-05
turbulence_strength,5.011872336272715e-16,m^(-2/3),1,303026,0.018038570851865287,0.0013106605554047135,4.4631818332363515e-05
turbulence_strength,5.011872336272715e-16,m^(-2/3),2,304026,0.01748541070176977,0.001274488210190685,4.334483339502038e-05
turbulence_strength,5.011872336272715e-16,m^(-2/3),3,305026,0.017825591340022394,0.0013030600143797057,4.444005253313038e-05
turbulence_strength,5.011872336272715e-16,m^(-2/3),4,306026,0.01776055854809573,0.0013001252794027727,4.4274676749257724e-05
turbulence_strength,6.309573444801943e-16,m^(-2/3),0,302026,0.0165509081824427,0.0012078823101063715,4.094922281221158e-05
turbulence_strength,6.309573444801943e-16,m^(-2/3),1,303026,0.01705763477410295,0.0012358573875554026,4.200118109633569e-05
turbulence_strength,6.309573444801943e-16,m^(-2/3),2,304026,0.015984476471729823,0.0011712722094272751,3.973065875089929e-05
turbulence_strength,6.309573444801943e-16,m^(-2/3),3,305026,0.016595523434172213,0.0012200904162487421,4.1401499678499903e-05
turbulence_strength,6.309573444801943e-16,m^(-2/3),4,306026,0.016087634212006395,0.0011726328195341262,3.9701444403371366e-05
turbulence_strength,7.943282347242821e-16,m^(-2/3),0,302026,0.01573888173187547,0.0011526034077182813,3.9134401251538636e-05
turbulence_strength,7.943282347242821e-16,m^(-2/3),1,303026,0.015994451461406524,0.0011795131517892358,4.002108968184648e-05
turbulence_strength,7.943282347242821e-16,m^(-2/3),2,304026,0.015700348543672207,0.0011468872949124149,3.887608959629585e-05
turbulence_strength,7.943282347242821e-16,m^(-2/3),3,305026,0.016467471303739604,0.0011970940243445707,4.0671577097532025e-05
