T,epsilon,SNR_dB,scheme,mean_I_AB,mean_chi_BE,mean_K_raw,std_K_raw,ci95_low,ci95_high,mean_K_positive,mean_entropy,outage_probability,repetitions
0.03162277660168379,0.025,-11.99141640382958,PS,0.04550638347152584,0.03612617948174379,0.007104884816205752,0.00027955982906686255,0.006410419702138888,0.007799349930272616,0.007104884816205752,6.408923689874858,0.0,3
0.03162277660168379,0.025,-11.99141640382958,PS+GS,0.04550631486973492,0.03607183048681972,0.007159168639428455,0.00027954672909952173,0.0064647360674844855,0.007853601211372425,0.007159168639428455,6.408923689874858,0.0,3
0.046415888336127774,0.025,-10.3255524165146,GS,0.0647312717549043,0.06768609386265156,-0.006191385695492477,0.001671446409339322,-0.010343488754050511,-0.0020392826369344417,0.0,8.0,1.0,3
0.046415888336127774,0.025,-10.3255524165146,MB-fixed,0.06443655892878002,0.05210261527763005,0.009112115704710958,0.002054956941639783,0.004007319670023712,0.014216911739398205,0.009112115704710958,6.408923689874861,0.0,3
0.046415888336127774,0.025,-10.3255524165146,MB-global-opt,0.06274953108953311,0.05168913657640006,0.007922917958656387,0.0023310832226260086,0.0021321862161743895,0.013713649701138385,0.007922917958656387,4.7380473561634675,0.0,3
0.046415888336127774,0.025,-10.3255524165146,PS,0.0644365589287809,0.05210261527763005,0.009112115704711802,0.0020549569416401636,0.00400731967002361,0.014216911739399993,0.009112115704711802,6.408923689874858,0.0,3
0.046415888336127774,0.025,-10.3255524165146,PS+GS,0.06443638936570444,0.05202658518703096,0.009187984710388246,0.0020544721505415253,0.004084392963550488,0.014291576457226004,0.009187984710388246,6.408923689874858,0.0,3
0.06812920690579609,0.025,-8.660063653390779,GS,0.09530831232347452,0.09635497958709482,-0.005812082879794044,0.00023256352159540465,-0.006389802694159491,-0.005234363065428596,0.0,8.0,1.0,3
0.06812920690579609,0.025,-8.660063653390779,MB-fixed,0.09665783441570852,0.07473872301123574,0.017086219683687346,0.0006624570761924398,0.015440585078322237,0.018731854289052455,0.017086219683687346,6.408923689874861,0.0,3
0.06812920690579609,0.025,-8.660063653390779,MB-global-opt,0.09720810947974279,0.07415988293116405,0.0181878210745916,0.002182879022015725,0.012765248975880857,0.023610393173302345,0.0181878210745916,4.7380473561634675,0.0,3
0.06812920690579609,0.025,-8.660063653390779,PS,0.09665783441571059,0.07473872301123485,0.017086219683690205,0.0006624570761926941,0.015440585078324465,0.018731854289055945,0.017086219683690205,6.408923689874858,0.0,3
0.06812920690579609,0.025,-8.660063653390779,PS+GS,0.09665813100007863,0.07463231379044943,0.01719291065962525,0.0006620988321484052,0.015548165981799927,0.018837655337450573,0.01719291065962525,6.408923689874858,0.0,3
0.1,0.025,-6.995125334283129,GS,0.13655067950250052,0.13635725305091317,-0.006634107523537695,0.0023127161065209538,-0.012379212820247594,-0.000889002226827796,0.0,8.0,1.0,3
0.1,0.025,-6.995125334283129,MB-fixed,0.136196098877465,0.10635310574936696,0.023033188184224795,0.001137046242647417,0.020208608732895334,0.025857767635554255,0.023033188184224795,6.408923689874861,0.0,3
0.1,0.025,-6.995125334283129,MB-global-opt,0.13416925519011258,0.10554114189845243,0.021919650532154517,0.00507795178589532,0.009305319002518336,0.0345339820617907,0.021919650532154517,4.7380473561634675,0.0,3
0.1,0.025,-6.995125334283129,PS,0.1361960988774662,0.10635310574936696,0.023033188184225922,0.0011370462426468244,0.020208608732897933,0.025857767635553912,0.023033188184225922,6.408923689874858,0.0,3
0.1,0.025,-6.995125334283129,PS+GS,0.13619635917018602,0.10620388450038631,0.02318265671129041,0.0011376195881381487,0.02035665299080558,0.026008660431775243,0.02318265671129041,6.408923689874858,0.0,3
1e-05,0.0275,-46.98970064051505,GS,1.4382919270694572e-05,2.17579662382672e-05,-8.094192931107358e-06,5.337821598237524e-07,-9.420181324168652e-06,-6.768204538046065e-06,0.0,8.0,1.0,3
1e-05,0.0275,-46.98970064051505,MB-fixed,1.4530033354572444e-05,1.3551817163337532e-05,2.5171452350628845e-07,7.727353061671854e-07,-1.667866391720766e-06,2.171295438733343e-06,4.517049040438548e-07,6.408923689874861,0.3333333333333333,3
1e-05,0.0275,-46.98970064051505,MB-global-opt,1.4319650729177624e-05,1.3347475821046118e-05,2.561923716726252e-07,8.392014236693551e-07,-1.8284995325931517e-06,2.340884275938402e-06,4.831739158254555e-07,4.7380473561634675,0.3333333333333333,3
