stage,point_index,T,epsilon,SNR_dB,scheme,repetition,I_AB,chi_BE,beta_I_AB,K_raw,K_positive,entropy,outage,noise_seed,ncut,awgn_samples,case_id,case_type,oracle_nu
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,PS,5,0.09356526211518723,0.07097453225989003,0.08888699900942787,0.017912466749537836,0.017912466749537836,6.408923689874859,0,1240005,150,512,1,best_overall,0.23
confirmation,2,0.03162277660168379,0.0,-11.989700043360187,PS,5,0.04483691787546373,0.030731486570853228,0.04259507198169055,0.011863585410837318,0.011863585410837318,6.408923689874859,0,1240005,150,512,2,best_overall,0.5
confirmation,3,3.1622776602e-05,0.03,-41.98970210335588,PS,5,4.538127733688668e-05,4.293545989764169e-05,4.3112213470042346e-05,1.7675357240065366e-07,1.7675357240065366e-07,6.408923689874859,0,1240005,150,512,3,near_threshold,0.15
confirmation,4,1.4677992676e-05,0.025,-45.323034173580155,PS,5,2.150955162605328e-05,1.934969384520535e-05,2.0434074044750614e-05,1.084380199545263e-06,1.084380199545263e-06,6.408923689874859,0,1240005,150,512,4,near_threshold,0.37
confirmation,5,1.2115276586e-05,0.025,-46.156367367829006,PS,5,1.750736619321458e-05,1.6016495482329418e-05,1.663199788355385e-05,6.155024012244332e-07,6.155024012244332e-07,6.408923689874859,0,1240005,150,512,5,near_threshold,0.35
confirmation,6,0.004641588833613,0.025,-20.32328534643597,PS,5,0.006712625885652912,0.005581897562515037,0.006376994591370266,0.0007950970288552288,0.0007950970288552288,6.408923689874859,0,1240005,150,512,6,failure,0.3
confirmation,7,0.004641588833613,0.03,-20.323335738630295,PS,5,0.006663817758427726,0.005748056005565605,0.0063306268705063395,0.0005825708649407346,0.0005825708649407346,6.408923689874859,0,1240005,150,512,7,failure,0.33
confirmation,8,0.002154434690032,0.01,-23.65641349272952,PS,5,0.0031010541707701123,0.002364169989292675,0.0029460014622316065,0.0005818314729389316,0.0005818314729389316,6.408923689874859,0,1240005,150,512,8,failure,0.32
confirmation,0,0.1,0.03,-6.9962095796561385,GS,5,0.13713039359138968,0.13985341625350833,0.1302738739118202,-0.009579542341688146,0.0,8.0,1,1240005,150,512,0,best_overall,0.15
confirmation,1,0.06812920690579609,0.015,-8.658585253667717,GS,5,0.09527385865037097,0.09069432939492561,0.09051016571785242,-0.00018416367707319026,0.0,8.0,1,1240005,150,512,1,best_overall,0.23
