SNR_band,SNR_dB,T,epsilon,delta_K,K_MB,K_joint
medium,-18.656662581334388,0.006812920690579608,0.02,3.942834013643051e-05,0.0011667786624478978,0.0012062070025843283
medium,-16.990134316128817,0.01,0.02,0.0002620419082814372,0.00136366280352802,0.0016257047118094572
medium,-15.323670787037615,0.01467799267622069,0.02,-0.00015317474210512156,0.002940250890906051,0.0027870761488009294
high,-13.657302268348012,0.021544346900318822,0.02,-0.0013992892532482147,0.007646931328776287,0.006247642075528072
high,-11.991073185996772,0.03162277660168379,0.02,-0.0007302689188807476,0.008026853826853942,0.007296584907973194
high,-10.325048725426392,0.046415888336127774,0.02,-0.0014285666236854826,0.013037897015634297,0.011609330391948815
saturation/highest,-8.659324516437765,0.06812920690579609,0.02,-0.004222927390836687,0.02112621553890093,0.016903288148064244
saturation/highest,-6.994040818153374,0.1,0.02,-0.003367196768621166,0.03093076782453467,0.027563571055913505
very low,-46.98970053194145,1e-05,0.0225,-4.50719995015447e-07,1.0381189094873132e-06,5.873989144718662e-07
very low,-45.32303409383272,1.4677992676220705e-05,0.0225,-8.711457450960591e-07,2.0378468139033616e-06,1.1667010688073025e-06
very low,-43.656367762643214,2.1544346900318823e-05,0.0225,-2.606303269203642e-07,2.3237032292270726e-06,2.0630729023067085e-06
very low,-41.989701588389615,3.1622776601683795e-05,0.0225,4.916572572325861e-07,2.069293188785197e-06,2.560950446017783e-06
very low,-40.323035644486396,4.641588833612782e-05,0.0225,-1.3768947903762066e-06,6.76523960773482e-06,5.388344817358613e-06
very low,-38.65637003869117,6.812920690579608e-05,0.0225,-2.481660978004291e-06,8.341607300440163e-06,5.859946322435872e-06
very low,-36.98970492917036,0.0001,0.0225,-1.4132130268832715e-06,1.6899847411044878e-05,1.5486634384161607e-05
very low,-35.32304054808023,0.0001467799267622069,0.0225,-8.504380616614071e-06,2.6634667195842465e-05,1.8130286579228394e-05
low,-33.65637723617895,0.00021544346900318823,0.0225,-1.1900330611647181e-05,4.006691437371163e-05,2.8166583762064446e-05
low,-31.98971549362976,0.00031622776601683794,0.0225,-1.0085656025493608e-05,4.5653566103487355e-05,3.5567910077993746e-05
low,-30.32305605456901,0.00046415888336127773,0.0225,2.5004593963936178e-05,2.6453696614418306e-05,5.1458290578354484e-05
low,-28.656399996555237,0.0006812920690579609,0.0225,1.7119875790413074e-05,7.576729381111305e-05,9.288716960152612e-05
low,-26.989748901214575,0.001,0.0225,-3.243221585798035e-05,0.00021150667344659672,0.00017907445758861637
low,-25.32310509002771,0.0014677992676220691,0.0225,-1.2112284994995507e-05,0.00022850519288832114,0.00021639290789332563
medium,-23.656471970399714,0.002154434690031882,0.0225,-2.5467299078187284e-06,0.0003638656121683086,0.0003613188822604899
medium,-21.989854543582513,0.0031622776601683794,0.0225,-7.095256970046648e-05,0.0006412928648242387,0.0005703402951237722
medium,-20.32326015011975,0.004641588833612777,0.0225,-1.7710208589132503e-06,0.0007284756597722387,0.0007267046389133255
medium,-18.656699563830596,0.006812920690579608,0.0225,-0.0001753679392376326,0.0012794019181173062,0.0011040339788796736
medium,-16.99018859717169,0.01,0.0225,0.00016183323636072733,0.0016088704139266472,0.0017707036502873745
medium,-15.323750456753142,0.01467799267622069,0.0225,5.246386330556071e-06,0.003175678889904502,0.003180925276235058
high,-13.657419198968771,0.021544346900318822,0.0225,-0.0003610813141587052,0.005169431659496405,0.0048083503453377
high,-11.991244798303688,0.03162277660168379,0.0225,-0.00019478403854741432,0.006229666008547431,0.006034881970000017
high,-10.325300578272705,0.046415888336127774,0.0225,-0.003289780804487545,0.015515642584970228,0.012225861780482683
saturation/highest,-8.659694100638724,0.06812920690579609,0.0225,0.000933646716063696,0.012911728945516746,0.013845375661580442
saturation/highest,-6.9945831100712965,0.1,0.0225,-0.0010241280340004821,0.028419876387457587,0.027395748353457105
