sweep,parameter_value,comparison,first,second,mean_delta_K_raw,ci95_low_delta_K_raw,ci95_high_delta_K_raw,mean_beta_delta_I_AB,mean_negative_delta_chi_BE
beam_waist,0.0705,PS+GS-PS,PS+GS,PS,3.7630090858220555e-05,3.711951324797329e-05,3.814066846846782e-05,-1.1858612405379886e-08,3.764194947060151e-05
beam_waist,0.075,PS+GS-PS,PS+GS,PS,3.8149270627139964e-05,3.691737884609409e-05,3.938116240818584e-05,-1.6704073955292607e-08,3.816597470108207e-05
beam_waist,0.0794999999999999,PS+GS-PS,PS+GS,PS,3.9060138557739374e-05,3.844994130975518e-05,3.9670335805723565e-05,2.5711748633666653e-08,3.9034426809081424e-05
beam_waist,0.0839999999999999,PS+GS-PS,PS+GS,PS,3.84582458229199e-05,3.697654877839486e-05,3.993994286744494e-05,8.466403453311066e-10,3.84573991825593e-05
beam_waist,0.0885,PS+GS-PS,PS+GS,PS,3.961934178427981e-05,3.78205576947194e-05,4.1418125873840216e-05,-5.631874701594875e-09,3.962497365898043e-05
beam_waist,0.093,PS+GS-PS,PS+GS,PS,4.050466623336038e-05,3.947947635988593e-05,4.152985610683483e-05,-1.5430147227574185e-08,4.052009638060017e-05
beam_waist,0.0974999999999999,PS+GS-PS,PS+GS,PS,4.050170467939998e-05,3.7988462691688365e-05,4.3014946667111595e-05,-9.248930368799258e-10,4.050262957240036e-05
beam_waist,0.102,PS+GS-PS,PS+GS,PS,4.030667890344147e-05,3.8282370195037585e-05,4.2330987611845355e-05,-7.50966905785355e-09,4.0314188572540545e-05
beam_waist,0.1065,PS+GS-PS,PS+GS,PS,4.095582357137931e-05,3.8747786827961604e-05,4.3163860314797016e-05,2.0168457739999646e-08,4.0935655113658044e-05
beam_waist,0.1109999999999999,PS+GS-PS,PS+GS,PS,4.008984925682052e-05,3.826372975657298e-05,4.191596875706806e-05,1.544850004739362e-08,4.007440075678159e-05
beam_waist,0.1154999999999999,PS+GS-PS,PS+GS,PS,4.0108587389439676e-05,3.848290628223457e-05,4.173426849664478e-05,2.0289428788455852e-08,4.0088297960680366e-05
beam_waist,0.12,PS+GS-PS,PS+GS,PS,4.168733774303976e-05,3.981199107715752e-05,4.3562684408922006e-05,2.8157892096591917e-08,4.165917985090029e-05
beam_waist,0.03,PS+GS-GS,PS+GS,GS,0.008890247393288062,0.008618371423691092,0.009162123362885032,2.8036267066689907e-05,0.0088622111262214
beam_waist,0.0344999999999999,PS+GS-GS,PS+GS,GS,0.00982204657288598,0.009315492831421692,0.010328600314350267,-1.218677369870358e-05,0.009834233346584637
beam_waist,0.039,PS+GS-GS,PS+GS,GS,0.01078003541750546,0.010406718633740607,0.011153352201270311,-5.064949920022682e-06,0.010785100367425521
beam_waist,0.0435,PS+GS-GS,PS+GS,GS,0.011746367716286699,0.011476234548149562,0.012016500884423836,3.468274674954252e-05,0.01171168496953712
beam_waist,0.048,PS+GS-GS,PS+GS,GS,0.01236578279724104,0.011871248899565782,0.012860316694916296,2.4343414519832628e-06,0.012363348455789078
beam_waist,0.0525,PS+GS-GS,PS+GS,GS,0.012762273445685039,0.012186439107884051,0.013338107783486026,1.7589959108128827e-06,0.012760514449774201
beam_waist,0.0569999999999999,PS+GS-GS,PS+GS,GS,0.0131315229111089,0.012722676715185777,0.013540369107032022,2.3951649656203667e-06,0.013129127746143244
beam_waist,0.0615,PS+GS-GS,PS+GS,GS,0.013641808292754501,0.012834070545643264,0.014449546039865738,-1.1013594477158883e-05,0.013652821887231653
beam_waist,0.066,PS+GS-GS,PS+GS,GS,0.01394785674565934,0.013373818799135049,0.01452189469218363,-3.470248402906869e-05,0.013982559229688381
beam_waist,0.0705,PS+GS-GS,PS+GS,GS,0.014131068046048962,0.013917960383645614,0.01434417570845231,1.9101914712956887e-05,0.014111966131335998
beam_waist,0.075,PS+GS-GS,PS+GS,GS,0.014304354077011699,0.01380871623441518,0.014799991919608218,6.520280448837068e-06,0.014297833796562862
beam_waist,0.0794999999999999,PS+GS-GS,PS+GS,GS,0.01468315926582448,0.014541892120567694,0.014824426411081266,6.491987863919023e-05,0.01461823938718532
