run_id,timestamp,distance_km,V_A,beta,I_AB,chi_BE,Delta,epsilon_total,n_block,N_block,SKR,SKR_clipped
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118420361,0.0171154196,0.0181933236,0.0000000300,100000000,100000000,-0.0058654853,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118392241,0.0171114567,0.0181933236,0.0000000300,100000000,100000000,-0.0058641938,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118357199,0.0171065182,0.0181933236,0.0000000300,100000000,100000000,-0.0058625842,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118319357,0.0171011849,0.0181933236,0.0000000300,100000000,100000000,-0.0058608460,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118276691,0.0170951717,0.0181933236,0.0000000300,100000000,100000000,-0.0058588860,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118231910,0.0170888603,0.0181933236,0.0000000300,100000000,100000000,-0.0058568288,0.0000000000
20260501_224543,2026-05-01 22:45:43,19.0000000000,2.6000000000,0.9500000000,0.0118180431,0.0170816048,0.0181933236,0.0000000300,100000000,100000000,-0.0058544638,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0118122821,0.0170734849,0.0181933236,0.0000000300,100000000,100000000,-0.0058518169,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0118059331,0.0170645360,0.0181933236,0.0000000300,100000000,100000000,-0.0058488996,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0117996101,0.0170556235,0.0181933236,0.0000000300,100000000,100000000,-0.0058459940,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0117927377,0.0170459364,0.0181933236,0.0000000300,100000000,100000000,-0.0058428356,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0117848817,0.0170348626,0.0181933236,0.0000000300,100000000,100000000,-0.0058392250,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0117770993,0.0170238921,0.0181933236,0.0000000300,100000000,100000000,-0.0058356477,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0117691997,0.0170127560,0.0181933236,0.0000000300,100000000,100000000,-0.0058320162,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0118270504,0.0170942997,0.0181933236,0.0000000300,100000000,100000000,-0.0058586018,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0118260253,0.0170928549,0.0181933236,0.0000000300,100000000,100000000,-0.0058581309,0.0000000000
20260501_224544,2026-05-01 22:45:44,19.0000000000,2.6000000000,0.9500000000,0.0118245379,0.0170907586,0.0181933236,0.0000000300,100000000,100000000,-0.0058574476,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118223635,0.0170876939,0.0181933236,0.0000000300,100000000,100000000,-0.0058564486,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118200674,0.0170844578,0.0181933236,0.0000000300,100000000,100000000,-0.0058553938,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118173151,0.0170805786,0.0181933236,0.0000000300,100000000,100000000,-0.0058541293,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118136603,0.0170754273,0.0181933236,0.0000000300,100000000,100000000,-0.0058524501,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118098510,0.0170700583,0.0181933236,0.0000000300,100000000,100000000,-0.0058506998,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118058838,0.0170644665,0.0181933236,0.0000000300,100000000,100000000,-0.0058488769,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0118009409,0.0170574994,0.0181933236,0.0000000300,100000000,100000000,-0.0058466055,0.0000000000
20260501_224545,2026-05-01 22:45:45,19.0000000000,2.6000000000,0.9500000000,0.0117958470,0.0170503193,0.0181933236,0.0000000300,100000000,100000000,-0.0058442646,0.0000000000
